ONS,2012,2013,2014,2015,Region,LA,ONS
E07000171,6929.0,6918.0,6892.0,-,Bassetlaw,37UC,E07000171
E06000055,,,,-,Bedford,09UD,E06000055
,,,,-,Berwick-upon-Tweed,35UC,
E08000025,64424.0,63891.0,63393.0,-,Birmingham,00CN,E08000025
E07000129,0.0,0.0,0.0,-,Blaby,31UB,E07000129
,,,,-,Blyth Valley,35UD,
E07000033,5326.0,5293.0,5199.0,-,Bolsover,17UC,E07000033
E08000001,0.0,0.0,0.0,-,Bolton,00BL,E08000001
E07000136,0.0,0.0,0.0,-,Boston,32UB,E07000136
E08000032,45.0,95.0,95.0,-,Bradford,00CX,E08000032
E07000067,27.0,27.0,23.0,-,Braintree,22UC,E07000067
E07000143,12.0,12.0,12.0,-,Breckland,33UB,E07000143
E07000068,2854.0,2860.0,2846.0,-,Brentwood,22UD,E07000068
,,,,-,Bridgnorth,39UB,
E07000144,0.0,0.0,0.0,-,Broadland,33UC,E07000144
E07000234,0.0,0.0,0.0,-,Bromsgrove,47UB,E07000234
E07000095,427.0,350.0,350.0,-,Broxbourne,26UB,E07000095
E07000172,4651.0,4631.0,4612.0,-,Broxtowe,37UD,E07000172
E07000117,0.0,0.0,32.0,-,Burnley,30UD,E07000117
E08000002,8325.0,8274.0,8233.0,-,Bury,00BM,E08000002
E08000033,22.0,22.0,22.0,-,Calderdale,00CY,E08000033
E07000008,7202.0,7115.0,7055.0,-,Cambridge,12UB,E07000008
E07000192,5409.0,5381.0,5356.0,-,Cannock Chase,41UB,E07000192
E07000106,5208.0,5217.0,5196.0,-,Canterbury,29UC,E07000106
,,,,-,Caradon,15UB,
E07000028,16.0,16.0,16.0,-,Carlisle,16UD,E07000028
,,,,-,Carrick,15UC,
,,,,-,Castle Morpeth,35UE,
E07000069,1535.0,1524.0,1509.0,-,Castle Point,22UE,E07000069
E07000130,5846.0,5823.0,5786.0,-,Charnwood,31UC,E07000130
E07000070,22.0,24.0,31.0,-,Chelmsford,22UF,E07000070
E07000078,4576.0,4563.0,4529.0,-,Cheltenham,23UB,E07000078
E07000177,156.0,160.0,160.0,-,Cherwell,38UB,E07000177
,,,,-,Chester,13UB,
,,,,-,Chester-le-Street,20UB,
E07000034,9662.0,9647.0,9570.0,-,Chesterfield,17UD,E07000034
E07000225,73.0,78.0,72.0,-,Chichester,45UD,E07000225
E07000005,0.0,0.0,0.0,-,Chiltern,11UC,E07000005
E07000118,0.0,0.0,0.0,-,Chorley,30UE,E07000118
E07000048,0.0,0.0,0.0,-,Christchurch,19UC,E07000048
E07000071,6257.0,6230.0,6130.0,-,Colchester,22UG,E07000071
,,,,-,Congleton,13UC,
E07000029,2.0,2.0,1.0,-,Copeland,16UE,E07000029
E07000150,4852.0,4837.0,4742.0,-,Corby,34UB,E07000150
E07000079,0.0,0.0,0.0,-,Cotswold,23UC,E07000079
E08000026,122.0,121.0,121.0,-,Coventry,00CQ,E08000026
E07000163,2.0,2.0,2.0,-,Craven,36UB,E07000163
E07000226,8119.0,7935.0,7831.0,-,Crawley,45UE,E07000226
,,,,-,Crewe and Nantwich,13UD,
E07000096,10555.0,10504.0,10362.0,-,Dacorum,26UC,E07000096
E07000107,4328.0,4308.0,4284.0,-,Dartford,29UD,E07000107
E07000151,0.0,0.0,0.0,-,Daventry,34UC,E07000151
E07000035,0.0,0.0,0.0,-,Derbyshire Dales,17UF,E07000035
,,,,-,Derwentside,20UD,
E08000017,20635.0,20646.0,20595.0,-,Doncaster,00CE,E08000017
E07000108,4450.0,4442.0,4442.0,-,Dover,29UE,E07000108
E08000027,23055.0,22935.0,22731.0,-,Dudley,00CR,E08000027
,,,,-,Durham,20UE,
,,,,-,Easington,20UF,
E07000009,1.0,1.0,1.0,-,East Cambridgeshire,12UC,E07000009
E07000040,4297.0,4293.0,4279.0,-,East Devon,18UB,E07000040
E07000049,2.0,2.0,2.0,-,East Dorset,19UD,E07000049
E07000085,0.0,0.0,0.0,-,East Hampshire,24UC,E07000085
E07000242,16.0,16.0,16.0,-,East Hertfordshire,26UD,E07000242
E07000137,0.0,0.0,0.0,-,East Lindsey,32UC,E07000137
E07000152,0.0,0.0,0.0,-,East Northamptonshire,34UD,E07000152
E07000193,0.0,0.0,0.0,-,East Staffordshire,41UC,E07000193
E07000061,3713.0,3587.0,3521.0,-,Eastbourne,21UC,E07000061
E07000086,0.0,0.0,0.0,-,Eastleigh,24UD,E07000086
E07000030,0.0,0.0,0.0,-,Eden,16UF,E07000030
,,,,-,Ellesmere Port and Neston,13UE,
E07000207,7.0,7.0,7.0,-,Elmbridge,43UB,E07000207
E07000072,6639.0,6631.0,6580.0,-,Epping Forest,22UH,E07000072
