ONS,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,Region,LA,ONS
E09000015,205.0,215.0,220.0,200.0,246.0,239.0,220.0,223.0,267.0,238.0,244.0,237.0,282.0,-,-,-,Harrow,00AQ,E09000015
E06000001,65.0,45.0,50.0,54.0,59.0,49.0,64.0,46.0,81.0,87.0,66.0,67.0,60.0,-,-,-,Hartlepool UA,00EB,E06000001
E09000016,225.0,225.0,225.0,207.0,254.0,285.0,226.0,238.0,272.0,256.0,264.0,203.0,228.0,-,-,-,Havering,00AR,E09000016
E06000019,75.0,75.0,65.0,70.0,82.0,79.0,88.0,90.0,102.0,70.0,61.0,94.0,75.0,-,-,-,"Herefordshire, County of UA",00GA,E06000019
,710.0,650.0,730.0,869.0,884.0,829.0,935.0,788.0,882.0,695.0,818.0,687.0,809.0,-,-,-,Hertfordshire,26,
E09000017,340.0,310.0,340.0,351.0,372.0,345.0,383.0,381.0,368.0,372.0,378.0,326.0,332.0,-,-,-,Hillingdon,00AS,E09000017
E09000018,275.0,265.0,295.0,273.0,287.0,243.0,286.0,287.0,339.0,304.0,311.0,282.0,281.0,-,-,-,Hounslow,00AT,E09000018
E06000046,45.0,40.0,50.0,50.0,40.0,41.0,39.0,48.0,60.0,44.0,44.0,53.0,22.0,-,-,-,Isle of Wight UA,00MW,E06000046
E07000025,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,-,-,-,Isles of Scilly UA,00HF,E07000025
E09000019,390.0,390.0,375.0,353.0,401.0,344.0,459.0,354.0,362.0,272.0,317.0,328.0,304.0,-,-,-,Islington,00AU,E09000019
E09000020,175.0,200.0,235.0,304.0,216.0,194.0,242.0,210.0,200.0,201.0,200.0,218.0,225.0,-,-,-,Kensington and Chelsea,00AW,E09000020
,885.0,790.0,825.0,856.0,888.0,967.0,993.0,1008.0,1048.0,819.0,980.0,830.0,983.0,-,-,-,Kent,,
E06000010,235.0,180.0,190.0,203.0,223.0,242.0,316.0,263.0,303.0,237.0,266.0,236.0,270.0,-,-,-,"Kingston upon Hull, City of UA",00FA,E06000010
E09000021,85.0,100.0,70.0,40.0,57.0,93.0,99.0,97.0,93.0,83.0,122.0,75.0,89.0,-,-,-,Kingston upon Thames,00AX,E09000021
E09000022,620.0,570.0,660.0,634.0,585.0,593.0,562.0,649.0,619.0,593.0,557.0,605.0,654.0,-,-,-,Lambeth,00AY,E09000022
,530.0,485.0,510.0,550.0,572.0,456.0,574.0,676.0,695.0,452.0,580.0,482.0,515.0,-,-,-,Lancashire,,
E06000016,330.0,300.0,315.0,348.0,327.0,364.0,368.0,352.0,404.0,339.0,352.0,359.0,384.0,-,-,-,Leicester UA,00FN,E06000016
,190.0,145.0,230.0,205.0,246.0,254.0,321.0,227.0,313.0,214.0,247.0,239.0,232.0,-,-,-,Leicestershire,,
E09000023,525.0,470.0,505.0,474.0,539.0,565.0,565.0,565.0,570.0,643.0,623.0,516.0,572.0,-,-,-,Lewisham,00AZ,E09000023
,285.0,275.0,285.0,300.0,299.0,281.0,345.0,361.0,380.0,301.0,317.0,287.0,371.0,-,-,-,Lincolnshire,32,
E06000032,150.0,195.0,205.0,183.0,249.0,217.0,267.0,203.0,259.0,203.0,224.0,192.0,253.0,-,-,-,Luton UA,00KA,E06000032
E06000035,220.0,195.0,290.0,215.0,280.0,256.0,209.0,293.0,356.0,266.0,234.0,235.0,229.0,-,-,-,Medway UA,00LC,E06000035
,1100.0,850.0,1070.0,1015.0,1307.0,1221.0,1361.0,1433.0,1363.0,969.0,1231.0,1200.0,1434.0,-,-,-,Merseyside (Met County),2B,
E09000024,185.0,220.0,205.0,196.0,212.0,193.0,235.0,224.0,243.0,167.0,233.0,171.0,208.0,-,-,-,Merton,00BA,E09000024
E06000002,90.0,80.0,65.0,89.0,88.0,90.0,106.0,68.0,119.0,67.0,58.0,79.0,141.0,-,-,-,Middlesbrough UA,00EC,E06000002
E06000042,195.0,185.0,270.0,256.0,252.0,306.0,257.0,291.0,222.0,208.0,212.0,195.0,229.0,-,-,-,Milton Keynes UA,00MG,E06000042
E09000025,575.0,585.0,670.0,623.0,683.0,599.0,647.0,696.0,631.0,545.0,632.0,610.0,669.0,-,-,-,Newham,00BB,E09000025
,410.0,425.0,460.0,483.0,481.0,436.0,516.0,597.0,545.0,519.0,409.0,451.0,465.0,-,-,-,Norfolk,33,
E06000012,85.0,100.0,80.0,63.0,98.0,113.0,168.0,128.0,166.0,133.0,114.0,113.0,107.0,-,-,-,North East Lincolnshire UA,00FC,E06000012
E06000013,60.0,70.0,45.0,59.0,81.0,52.0,128.0,120.0,144.0,130.0,86.0,63.0,63.0,-,-,-,North Lincolnshire UA,00FD,E06000013
E06000024,60.0,60.0,55.0,60.0,68.0,55.0,62.0,60.0,64.0,66.0,66.0,69.0,77.0,-,-,-,North Somerset UA,00HC,E06000024
,175.0,160.0,180.0,191.0,169.0,205.0,214.0,265.0,239.0,189.0,174.0,147.0,150.0,-,-,-,North Yorkshire,36,
,435.0,325.0,370.0,406.0,467.0,417.0,494.0,451.0,611.0,393.0,401.0,361.0,426.0,-,-,-,Northamptonshire,34,
,,,,,,,,,,,,,,-,-,-,Northumberland (pre-2009),35,
E06000057,185.0,180.0,175.0,179.0,202.0,180.0,215.0,214.0,198.0,136.0,179.0,147.0,188.0,-,-,-,Northumberland UA,00EM,E06000057
E06000018,395.0,330.0,385.0,362.0,478.0,415.0,485.0,585.0,533.0,399.0,417.0,352.0,404.0,-,-,-,Nottingham UA,00FY,E06000018
,340.0,315.0,300.0,407.0,324.0,358.0,384.0,405.0,408.0,327.0,308.0,351.0,327.0,-,-,-,Nottinghamshire,,
,280.0,250.0,315.0,271.0,305.0,303.0,319.0,397.0,391.0,265.0,333.0,296.0,323.0,-,-,-,Oxfordshire,38,
E06000031,255.0,165.0,205.0,227.0,289.0,245.0,223.0,232.0,311.0,246.0,298.0,254.0,291.0,-,-,-,Peterborough UA,00JA,E06000031
