,All households,Household is not deprived in any dimension,Household is deprived in 1 dimension,Household is deprived in 2 dimensions,Household is deprived in 3 dimensions,Household is deprived in 4 dimensions
E07000062,41159,14957,13820,8995,3002,385
E07000063,42181,18710,14194,7570,1555,152
E07000064,40877,16454,14615,8147,1536,125
E07000065,62676,30384,20768,9793,1616,115
E07000084,69315,36020,21544,9740,1854,157
E07000085,47258,25342,14682,5993,1133,108
E07000086,52177,26804,16208,7611,1451,103
E07000087,46579,24194,14671,6528,1090,96
E07000088,35430,15482,11954,6313,1545,136
E07000089,35510,20828,10300,3805,541,36
E07000090,51311,21319,17352,9694,2645,301
E07000091,76839,35936,25927,12608,2189,179
E07000092,36344,17262,11898,5624,1401,159
E07000093,47626,24913,14813,6580,1218,102
E07000094,46865,26042,13971,5674,1072,106
E07000105,47787,22348,15530,8104,1646,159
E07000106,60771,26802,20299,10990,2398,282
E07000107,40081,17575,13593,7133,1617,163
E07000108,48310,19504,16204,9988,2375,239
E07000109,40431,15951,13875,8240,2151,214
E07000110,63447,29940,20502,10517,2265,223
E07000111,47020,23901,14796,6877,1366,80
E07000112,47379,18371,16382,9685,2541,400
E07000113,55585,22310,18402,11430,3110,333
E07000114,59513,20410,20419,14331,3889,464
E07000115,48140,23856,15382,7245,1536,121
E07000116,47174,24012,14686,6712,1582,182
E07000177,56728,28244,17982,8547,1772,183
E07000178,55375,26741,17525,8369,2448,292
E07000179,54104,29701,16164,6985,1154,100
E07000180,49407,26740,15120,6277,1162,108
E07000181,43241,23263,13297,5666,947,68
E07000207,52922,30499,15204,5946,1147,126
E07000208,29784,15717,9375,3916,692,84
E07000209,53973,29647,16188,6671,1336,131
E07000210,35828,19203,11062,4447,983,133
E07000211,55423,29561,17153,7211,1362,136
E07000212,32714,16105,10577,5014,906,112
E07000213,39512,17865,13552,6683,1287,125
E07000214,33546,18847,10001,3972,671,55
E07000215,33342,17499,10707,4219,847,70
E07000216,49280,27896,14410,5831,1056,87
E07000217,39467,20707,12212,5230,1216,102
E07000223,26957,10892,9284,5481,1174,126
E07000224,66706,26961,23774,13093,2544,334
E07000225,49848,24212,16704,7432,1374,126
E07000226,42727,17970,14782,7891,1919,165
E07000227,54923,29052,17272,7095,1403,101
E07000228,57409,31002,17911,7136,1259,101
E07000229,47044,20155,15830,8713,2112,234
E06000022,73515,36446,23106,11348,2351,264
E06000028,82374,33804,27788,15624,4371,787
E06000023,182747,77443,58827,34808,10430,1239
E06000052,230389,92572,79717,45836,11126,1138
E06000053,989,380,414,158,36,1
E06000024,88227,41762,28397,14492,3212,364
E06000026,109307,43157,36415,22169,6754,812
E06000029,63530,28688,21222,11125,2264,231
E06000025,107538,54100,33900,16216,3042,280
E06000030,88360,40187,28500,15432,3880,361
E06000027,59010,21315,20367,13148,3627,553
E06000054,194194,96645,62496,28845,5720,488
E07000040,59071,26254,20861,10109,1709,138
E07000041,49242,21874,16121,8606,2335,306
E07000042,32758,14780,11023,5642,1205,108
E07000043,40001,16745,13820,7583,1684,169
E07000044,36858,17612,12343,5707,1104,92
E07000045,54003,23867,18111,9795,2017,213
E07000046,27986,11283,9876,5445,1220,162
E07000047,22725,10282,7660,3882,831,70
E07000048,21475,8727,7714,4205,745,84
E07000049,37564,17472,13040,6162,835,55
E07000050,28670,13555,9683,4537,820,75
E07000051,19583,8640,6868,3392,643,40
E07000052,44386,20483,15283,7167,1340,113
E07000053,28535,11610,9778,5538,1440,169
E07000078,50929,25555,16032,7389,1768,185
E07000079,36236,18505,11743,5114,816,58
E07000080,34167,14810,11345,6601,1314,97
E07000081,50363,21900,16537,9300,2350,276
E07000082,47794,24360,14867,7113,1362,92
E07000083,35126,17606,11256,5253,919,92
E07000187,46157,21401,15196,7836,1564,160
E07000188,48801,20402,16505,9538,2159,197
E07000189,69501,31739,23281,12006,2272,203
E07000190,46907,21813,15463,7913,1580,138
E07000191,15623,5948,5688,3268,658,61
W06000001,30594,12139,10168,6466,1668,153
W06000002,52473,21019,17843,10633,2717,261
W06000003,51177,20030,17308,10892,2696,251
W06000004,40546,15883,13310,8872,2267,214
W06000005,63781,27470,20659,12596,2868,188
W06000006,57029,23339,18021,12080,3350,239
W06000023,58345,24253,20098,11533,2314,147
W06000008,31562,12896,10981,6061,1480,144
W06000009,53122,21009,18069,11104,2723,217
W06000010,78829,29639,25587,18590,4729,284
W06000011,103497,40501,33016,22539,6955,486
W06000012,60393,20311,18302,16109,5394,277
W06000013,58515,22225,17974,13741,4303,272
W06000014,53505,24064,16928,9817,2486,210
W06000015,142557,60541,44719,27307,9008,982
W06000016,99663,34591,29900,25755,8876,541
W06000024,24264,7440,7409,6784,2452,179
W06000018,74479,26218,22373,19379,6124,385
W06000019,30416,9051,9242,8828,3098,197
W06000020,38524,14123,12330,9301,2596,174
W06000021,38233,17659,12341,6750,1383,100
W06000022,61172,23724,19405,13734,3952,357
