"date","geography","geography code","Rural Urban","Social Grade: Approximated social grade; measures: Value","Social Grade: Approximated social grade AB; measures: Value","Social Grade: Approximated social grade C1; measures: Value","Social Grade: Approximated social grade C2; measures: Value","Social Grade: Approximated social grade DE; measures: Value"
"2011","Forest Heath","E07000201","Total",18942,2909,6939,4659,4435
"2011","Ipswich","E07000202","Total",43839,7536,12358,10101,13844
"2011","Mid Suffolk","E07000203","Total",27687,6838,8327,7128,5394
"2011","St Edmundsbury","E07000204","Total",32251,7017,10037,7489,7708
"2011","Suffolk Coastal","E07000205","Total",34890,9051,10959,7848,7032
"2011","Waveney","E07000206","Total",32765,4828,8914,8988,10035
"2011","Camden","E09000007","Total",80211,31486,27775,6713,14237
"2011","City of London","E09000001","Total",3583,2184,1006,177,216
"2011","Hackney","E09000012","Total",88887,23704,29551,11133,24499
"2011","Hammersmith and Fulham","E09000013","Total",68641,26027,23269,6953,12392
"2011","Haringey","E09000014","Total",86463,24139,27207,11903,23214
"2011","Islington","E09000019","Total",80466,28479,26677,8024,17286
"2011","Kensington and Chelsea","E09000020","Total",64613,28596,21907,4536,9574
"2011","Lambeth","E09000022","Total",113682,36509,37402,14599,25172
"2011","Lewisham","E09000023","Total",97800,25430,34337,15144,22889
"2011","Newham","E09000025","Total",87908,14541,26271,16240,30856
"2011","Southwark","E09000028","Total",104456,31487,34316,14140,24513
"2011","Tower Hamlets","E09000030","Total",90210,29839,27404,8823,24144
"2011","Wandsworth","E09000032","Total",111779,48387,35735,11066,16591
"2011","Westminster","E09000033","Total",87452,36397,28414,6353,16288
"2011","Barking and Dagenham","E09000002","Total",56123,6748,17094,13179,19102
"2011","Barnet","E09000003","Total",105532,35019,34618,15167,20728
"2011","Bexley","E09000004","Total",67839,12960,24910,15432,14537
"2011","Brent","E09000005","Total",90299,19842,27299,16750,26408
"2011","Bromley","E09000006","Total",96226,29640,35333,15666,15587
"2011","Croydon","E09000008","Total",115988,27929,41671,20693,25695
"2011","Ealing","E09000009","Total",101017,28354,30768,17827,24068
"2011","Enfield","E09000010","Total",94435,20411,30327,16266,27431
"2011","Greenwich","E09000011","Total",83243,20564,26366,14911,21402
"2011","Harrow","E09000015","Total",63652,20556,19548,10456,13092
"2011","Havering","E09000016","Total",69125,13047,24807,16376,14895
"2011","Hillingdon","E09000017","Total",77364,17322,26549,16621,16872
"2011","Hounslow","E09000018","Total",77407,19676,24586,14571,18574
"2011","Kingston upon Thames","E09000021","Total",50282,18532,17439,6927,7384
"2011","Merton","E09000024","Total",63417,22171,20208,9814,11224
"2011","Redbridge","E09000026","Total",78263,21971,26053,12435,17804
"2011","Richmond upon Thames","E09000027","Total",62440,30046,20070,6006,6318
"2011","Sutton","E09000029","Total",60022,15010,21543,12641,10828
"2011","Waltham Forest","E09000031","Total",79745,16567,26432,15173,21573
"2011","Bracknell Forest","E06000036","Total",36551,10667,12515,7239,6130
"2011","Brighton and Hove","E06000043","Total",96491,27570,36123,14553,18245
"2011","Isle of Wight","E06000046","Total",39833,7255,11716,9894,10968
"2011","Medway","E06000035","Total",81433,13472,26048,20646,21267
"2011","Milton Keynes","E06000042","Total",80599,20449,25880,14740,19530
"2011","Portsmouth","E06000044","Total",66498,12571,23073,13171,17683
"2011","Reading","E06000038","Total",50998,15984,15282,8769,10963
"2011","Slough","E06000039","Total",42637,7936,12608,9640,12453
"2011","Southampton","E06000045","Total",77060,14541,24816,15743,21960
"2011","West Berkshire","E06000037","Total",46971,15707,14417,9319,7528
"2011","Windsor and Maidenhead","E06000040","Total",43095,16878,13875,6658,5684
"2011","Wokingham","E06000041","Total",45331,19505,14236,6724,4866
"2011","Aylesbury Vale","E07000004","Total",52701,15629,17494,10702,8876
"2011","Chiltern","E07000005","Total",25444,10429,7883,3975,3157
"2011","South Bucks","E07000006","Total",18331,6959,6125,3110,2137
"2011","Wycombe","E07000007","Total",50524,16512,16014,9508,8490
"2011","Eastbourne","E07000061","Total",30217,5653,10035,6630,7899
"2011","Hastings","E07000062","Total",30978,4663,9699,7085,9531
"2011","Lewes","E07000063","Total",27751,6989,9100,6189,5473
"2011","Rother","E07000064","Total",24149,5402,7803,5806,5138
"2011","Wealden","E07000065","Total",40748,11294,13225,9505,6724
"2011","Basingstoke and Deane","E07000084","Total",53579,16520,16924,10487,9648
"2011","East Hampshire","E07000085","Total",33197,10896,10163,6822,5316
"2011","Eastleigh","E07000086","Total",38617,10409,12619,8632,6957
"2011","Fareham","E07000087","Total",32107,9415,11301,6445,4946
"2011","Gosport","E07000088","Total",26061,4319,8959,6234,6549
"2011","Hart","E07000089","Total",26077,10549,8425,4308,2795
"2011","Havant","E07000090","Total",34764,6948,9933,8534,9349
"2011","New Forest","E07000091","Total",48603,11953,15224,11470,9956
"2011","Rushmoor","E07000092","Total",29063,6547,9869,6794,5853
"2011","Test Valley","E07000093","Total",34100,10236,10646,6967,6251
"2011","Winchester","E07000094","Total",32957,13355,10016,5135,4451
