ONS,12/13,13/14,14/15,15/16,Region,LA,ONS
E07000071,21.0,93.0,-,-,Colchester,22UG,E07000071
,,,-,-,Congleton,13UC,
E07000029,,,-,-,Copeland,16UE,E07000029
E07000150,16.0,51.0,-,-,Corby,34UB,E07000150
E07000079,,,-,-,Cotswold,23UC,E07000079
E08000026,,,-,-,Coventry,00CQ,E08000026
E07000163,,,-,-,Craven,36UB,E07000163
E07000226,72.0,102.0,-,-,Crawley,45UE,E07000226
,,,-,-,Crewe and Nantwich,13UD,
E07000096,62.0,86.0,-,-,Dacorum,26UC,E07000096
E07000107,20.0,18.0,-,-,Dartford,29UD,E07000107
E07000151,,,-,-,Daventry,34UC,E07000151
E07000035,,,-,-,Derbyshire Dales,17UF,E07000035
,,,-,-,Derwentside,20UD,
E08000017,32.0,53.0,-,-,Doncaster,00CE,E08000017
E07000108,10.0,17.0,-,-,Dover,29UE,E07000108
E08000027,117.0,203.0,-,-,Dudley,00CR,E08000027
,,,-,-,Durham,20UE,
,,,-,-,Easington,20UF,
E07000009,,,-,-,East Cambridgeshire,12UC,E07000009
E07000040,15.0,23.0,-,-,East Devon,18UB,E07000040
E07000049,,,-,-,East Dorset,19UD,E07000049
E07000085,,,-,-,East Hampshire,24UC,E07000085
E07000242,,,-,-,East Hertfordshire,26UD,E07000242
E07000137,,,-,-,East Lindsey,32UC,E07000137
E07000152,,,-,-,East Northamptonshire,34UD,E07000152
E07000193,,,-,-,East Staffordshire,41UC,E07000193
E07000061,51.0,28.0,-,-,Eastbourne,21UC,E07000061
E07000086,,,-,-,Eastleigh,24UD,E07000086
E07000030,,,-,-,Eden,16UF,E07000030
,,,-,-,Ellesmere Port and Neston,13UE,
E07000207,,,-,-,Elmbridge,43UB,E07000207
E07000072,13.0,53.0,-,-,Epping Forest,22UH,E07000072
E07000208,,,-,-,Epsom and Ewell,43UC,E07000208
E07000036,,,-,-,Erewash,17UG,E07000036
E07000041,25.0,31.0,-,-,Exeter,18UC,E07000041
E07000087,8.0,14.0,-,-,Fareham,24UE,E07000087
E07000010,,,-,-,Fenland,12UD,E07000010
E07000201,,,-,-,Forest Heath,42UC,E07000201
E07000080,,,-,-,Forest of Dean,23UD,E07000080
E07000119,,,-,-,Fylde,30UF,E07000119
E08000037,51.0,166.0,-,-,Gateshead,00CH,E08000037
E07000173,0.0,0.0,-,-,Gedling,37UE,E07000173
E07000081,16.0,25.0,-,-,Gloucester,23UE,E07000081
E07000088,10.0,24.0,-,-,Gosport,24UF,E07000088
E07000109,22.0,32.0,-,-,Gravesham,29UG,E07000109
E07000145,21.0,47.0,-,-,Great Yarmouth,33UD,E07000145
