ONS,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,Region,LA,ONS
E06000047,6.0,14.0,15.0,10.0,12.0,13.0,20.0,11.0,9.0,9.0,10.0,11.0,14.0,-,-,-,Durham UA,00EJ,E06000047
E09000009,26.0,13.0,16.0,26.0,28.0,13.0,11.0,9.0,15.0,24.0,25.0,26.0,31.0,-,-,-,Ealing,00AJ,E09000009
E06000011,14.0,10.0,19.0,11.0,10.0,7.0,20.0,5.0,,13.0,12.0,7.0,7.0,-,-,-,East Riding of Yorkshire UA,00FB,E06000011
,23.0,32.0,29.0,23.0,31.0,19.0,39.0,23.0,14.0,15.0,24.0,35.0,37.0,-,-,-,East Sussex,,
E09000010,19.0,18.0,20.0,12.0,24.0,14.0,15.0,21.0,21.0,9.0,10.0,8.0,19.0,-,-,-,Enfield,00AK,E09000010
,46.0,42.0,62.0,51.0,46.0,53.0,59.0,48.0,32.0,39.0,47.0,36.0,51.0,-,-,-,Essex,22,
,13.0,19.0,16.0,14.0,12.0,17.0,24.0,23.0,12.0,13.0,20.0,7.0,5.0,-,-,-,Gloucestershire,23,
,112.0,108.0,124.0,101.0,108.0,106.0,105.0,110.0,81.0,80.0,89.0,90.0,102.0,-,-,-,Greater Manchester (Met County),2A,
E09000011,16.0,8.0,21.0,19.0,8.0,8.0,5.0,2.0,,,,7.0,31.0,-,-,-,Greenwich,00AL,E09000011
E09000012,20.0,24.0,31.0,33.0,20.0,9.0,15.0,47.0,49.0,30.0,17.0,14.0,27.0,-,-,-,Hackney,00AM,E09000012
E06000006,8.0,3.0,7.0,5.0,6.0,8.0,4.0,10.0,,,6.0,12.0,17.0,-,-,-,Halton UA,00ET,E06000006
E09000013,3.0,1.0,3.0,1.0,1.0,3.0,3.0,5.0,8.0,5.0,0.0,,12.0,-,-,-,Hammersmith and Fulham,00AN,E09000013
,34.0,19.0,23.0,21.0,26.0,25.0,20.0,35.0,16.0,13.0,28.0,34.0,7.0,-,-,-,Hampshire,,
E09000014,21.0,23.0,25.0,25.0,25.0,13.0,40.0,23.0,20.0,18.0,18.0,18.0,38.0,-,-,-,Haringey,00AP,E09000014
E09000015,5.0,8.0,6.0,5.0,6.0,3.0,2.0,2.0,,8.0,7.0,,9.0,-,-,-,Harrow,00AQ,E09000015
E06000001,1.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,,,,,,-,-,-,Hartlepool UA,00EB,E06000001
E09000016,11.0,8.0,15.0,23.0,17.0,28.0,19.0,23.0,15.0,,14.0,20.0,15.0,-,-,-,Havering,00AR,E09000016
E06000019,7.0,11.0,13.0,9.0,8.0,9.0,5.0,7.0,8.0,8.0,,5.0,5.0,-,-,-,"Herefordshire, County of UA",00GA,E06000019
,27.0,32.0,33.0,28.0,29.0,34.0,36.0,31.0,39.0,43.0,22.0,51.0,27.0,-,-,-,Hertfordshire,26,
E09000017,19.0,17.0,22.0,23.0,31.0,17.0,18.0,15.0,13.0,27.0,13.0,16.0,13.0,-,-,-,Hillingdon,00AS,E09000017
E09000018,21.0,20.0,13.0,12.0,11.0,12.0,9.0,9.0,7.0,5.0,10.0,,0.0,-,-,-,Hounslow,00AT,E09000018
E06000046,7.0,2.0,8.0,3.0,4.0,11.0,3.0,6.0,8.0,7.0,5.0,6.0,,-,-,-,Isle of Wight UA,00MW,E06000046
E07000025,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,-,-,-,Isles of Scilly UA,00HF,E07000025
E09000019,5.0,7.0,25.0,8.0,15.0,14.0,13.0,10.0,8.0,7.0,7.0,18.0,5.0,-,-,-,Islington,00AU,E09000019
E09000020,19.0,12.0,13.0,16.0,18.0,22.0,11.0,22.0,19.0,20.0,18.0,22.0,30.0,-,-,-,Kensington and Chelsea,00AW,E09000020
,56.0,61.0,71.0,68.0,71.0,59.0,73.0,65.0,64.0,68.0,81.0,90.0,75.0,-,-,-,Kent,,
E06000010,14.0,13.0,9.0,11.0,8.0,9.0,24.0,6.0,,8.0,9.0,9.0,8.0,-,-,-,"Kingston upon Hull, City of UA",00FA,E06000010
E09000021,1.0,16.0,14.0,15.0,5.0,15.0,2.0,6.0,,,5.0,,,-,-,-,Kingston upon Thames,00AX,E09000021
E09000022,29.0,31.0,31.0,28.0,21.0,9.0,25.0,36.0,24.0,18.0,21.0,8.0,16.0,-,-,-,Lambeth,00AY,E09000022
,24.0,26.0,28.0,15.0,19.0,23.0,24.0,15.0,13.0,11.0,12.0,6.0,19.0,-,-,-,Lancashire,,
