ONS,12/13,13/14,14/15,15/16,Region,LA,ONS
E09000031,0.0,0.0,-,-,Waltham Forest,00BH,E09000031
E09000032,0.0,0.0,-,-,Wandsworth,00BJ,E09000032
E06000007,,0.0,-,-,Warrington UA,00EU,E06000007
,110.0,50.0,-,-,Warwickshire,44,
E06000037,0.0,0.0,-,-,West Berkshire UA,00MB,E06000037
,30.0,40.0,-,-,West Midlands (Met County),2E,
,,,-,-,West Sussex,45,
,20.0,,-,-,West Yorkshire (Met County),2F,
E09000033,0.0,0.0,-,-,Westminster,00BK,E09000033
,,,-,-,Wiltshire (pre-2009),46,
E06000054,0.0,0.0,-,-,Wiltshire UA,00HY,E06000054
E06000040,0.0,0.0,-,-,Windsor and Maidenhead UA,00ME,E06000040
E06000041,0.0,0.0,-,-,Wokingham UA,00MF,E06000041
,10.0,20.0,-,-,Worcestershire,,
E06000014,0.0,0.0,-,-,York UA,00FF,E06000014
E07000223,0.0,0.0,-,-,Adur,45UB,E07000223
E07000026,0.0,0.0,-,-,Allerdale,16UB,E07000026
,,,-,-,Alnwick,35UB,
E07000032,0.0,0.0,-,-,Amber Valley,17UB,E07000032
E07000224,,,-,-,Arun,45UC,E07000224
E07000170,0.0,0.0,-,-,Ashfield,37UB,E07000170
E07000105,0.0,0.0,-,-,Ashford,29UB,E07000105
E07000004,0.0,0.0,-,-,Aylesbury Vale,11UB,E07000004
E07000200,0.0,0.0,-,-,Babergh,42UB,E07000200
E08000016,0.0,0.0,-,-,Barnsley,00CC,E08000016
E07000027,0.0,0.0,-,-,Barrow-in-Furness,16UC,E07000027
E07000066,0.0,0.0,-,-,Basildon,22UB,E07000066
E07000084,0.0,0.0,-,-,Basingstoke and Deane,24UB,E07000084
E07000171,0.0,0.0,-,-,Bassetlaw,37UC,E07000171
E06000055,,,-,-,Bedford,09UD,E06000055
,,,-,-,Berwick-upon-Tweed,35UC,
E08000025,30.0,20.0,-,-,Birmingham,00CN,E08000025
E07000129,0.0,0.0,-,-,Blaby,31UB,E07000129
,,,-,-,Blyth Valley,35UD,
E07000033,0.0,0.0,-,-,Bolsover,17UC,E07000033
E08000001,0.0,10.0,-,-,Bolton,00BL,E08000001
E07000136,0.0,0.0,-,-,Boston,32UB,E07000136
