ONS,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,Region,LA,ONS
,,,,,,,,,,,,0.0,0.0,-,-,-,Cheshire (pre-2009),13,
E06000049,9.0,22.0,19.0,9.0,19.0,6.0,17.0,10.0,31.0,16.0,,5.0,14.0,-,-,-,Cheshire East UA,00EQ,E06000049
E06000050,52.0,52.0,55.0,44.0,53.0,30.0,34.0,31.0,26.0,38.0,37.0,27.0,17.0,-,-,-,Cheshire West and Chester UA,00EW,E06000050
E09000001,8.0,8.0,15.0,12.0,10.0,6.0,4.0,,,,,5.0,9.0,-,-,-,City of London,00AA,E09000001
,,,,,,,,,,,,0.0,0.0,-,-,-,Cornwall (pre-2009),15,
E06000052,488.0,476.0,457.0,433.0,384.0,356.0,362.0,352.0,346.0,302.0,315.0,330.0,293.0,-,-,-,Cornwall UA,00HE,E06000052
,,,,,,,,,,,,0.0,0.0,-,-,-,County Durham (pre-2009),20,
E09000008,2530.0,2790.0,2949.0,3130.0,3119.0,3279.0,3472.0,3550.0,3584.0,3794.0,3847.0,4006.0,4120.0,-,-,-,Croydon,00AH,E09000008
,41.0,47.0,37.0,16.0,16.0,23.0,23.0,12.0,7.0,19.0,25.0,19.0,34.0,-,-,-,Cumbria,16,
E06000005,0.0,3.0,0.0,1.0,0.0,0.0,2.0,,5.0,,0.0,0.0,,-,-,-,Darlington UA,00EH,E06000005
E06000015,59.0,43.0,36.0,33.0,34.0,32.0,38.0,22.0,54.0,34.0,53.0,44.0,55.0,-,-,-,Derby UA,00FK,E06000015
,89.0,81.0,63.0,81.0,89.0,98.0,64.0,49.0,52.0,64.0,65.0,71.0,64.0,-,-,-,Derbyshire,17,
,301.0,324.0,331.0,288.0,286.0,278.0,272.0,140.0,188.0,194.0,233.0,247.0,200.0,-,-,-,Devon,,
