"date","geography","geography code","Rural Urban","Ethnic Group: All usual residents; measures: Value","Ethnic Group: White; measures: Value","Ethnic Group: White: English/Welsh/Scottish/Northern Irish/British; measures: Value","Ethnic Group: White: Irish; measures: Value","Ethnic Group: White: Gypsy or Irish Traveller; measures: Value","Ethnic Group: White: Other White; measures: Value","Ethnic Group: Mixed/multiple ethnic groups; measures: Value","Ethnic Group: Mixed/multiple ethnic groups: White and Black Caribbean; measures: Value","Ethnic Group: Mixed/multiple ethnic groups: White and Black African; measures: Value","Ethnic Group: Mixed/multiple ethnic groups: White and Asian; measures: Value","Ethnic Group: Mixed/multiple ethnic groups: Other Mixed; measures: Value","Ethnic Group: Asian/Asian British; measures: Value","Ethnic Group: Asian/Asian British: Indian; measures: Value","Ethnic Group: Asian/Asian British: Pakistani; measures: Value","Ethnic Group: Asian/Asian British: Bangladeshi; measures: Value","Ethnic Group: Asian/Asian British: Chinese; measures: Value","Ethnic Group: Asian/Asian British: Other Asian; measures: Value","Ethnic Group: Black/African/Caribbean/Black British; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: African; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: Caribbean; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: Other Black; measures: Value","Ethnic Group: Other ethnic group; measures: Value","Ethnic Group: Other ethnic group: Arab; measures: Value","Ethnic Group: Other ethnic group: Any other ethnic group; measures: Value"
"2011","Fareham","E07000087","Total",111581,107959,105663,475,85,1736,1359,301,150,657,251,1667,663,77,125,467,335,357,215,109,33,239,106,133
"2011","Gosport","E07000088","Total",82622,79685,78001,313,32,1339,1066,272,142,426,226,1073,428,31,149,214,251,592,321,183,88,206,48,158
"2011","Hart","E07000089","Total",91033,86355,82534,642,273,2906,1457,311,152,685,309,2448,880,141,136,435,856,506,266,178,62,267,100,167
"2011","Havant","E07000090","Total",120684,117162,114919,532,64,1647,1514,404,215,588,307,1427,504,72,155,313,383,388,252,55,81,193,73,120
"2011","New Forest","E07000091","Total",176462,172160,167445,829,423,3463,1620,439,188,603,390,1665,472,34,195,338,626,612,328,141,143,405,72,333
"2011","Rushmoor","E07000092","Total",93807,79520,75511,718,155,3136,2057,624,342,644,447,9755,1310,635,206,497,7107,1868,1115,538,215,607,134,473
"2011","Test Valley","E07000093","Total",116398,111645,107743,537,153,3212,1494,378,246,565,305,2368,937,141,166,434,690,487,258,149,80,404,139,265
"2011","Winchester","E07000094","Total",116595,111577,107070,733,263,3511,1626,321,180,684,441,2639,665,92,222,745,915,457,250,147,60,296,110,186
"2011","Ashford","E07000105","Total",117956,110520,105498,753,531,3738,1682,544,235,507,396,3991,958,161,185,431,2256,1375,948,327,100,388,87,301
"2011","Canterbury","E07000106","Total",151145,140620,132269,1260,374,6717,2551,680,305,897,669,5135,1448,306,251,1436,1694,1937,1338,437,162,902,405,497
"2011","Dartford","E07000107","Total",97365,85070,80466,767,244,3593,2161,620,346,693,502,5799,2670,179,431,538,1981,3578,2814,497,267,757,179,578
"2011","Dover","E07000108","Total",111674,107966,103848,572,234,3312,1029,281,133,360,255,2031,397,40,151,274,1169,386,265,85,36,262,65,197
"2011","Gravesham","E07000109","Total",101720,84226,78422,791,320,4693,2066,564,359,627,516,10604,7538,550,477,326,1713,2885,2226,456,203,1939,94,1845
"2011","Maidstone","E07000110","Total",155143,145996,138235,955,838,5968,2345,625,319,841,560,4943,1226,340,381,461,2535,1380,867,356,157,479,140,339
"2011","Sevenoaks","E07000111","Total",114893,110029,104538,950,391,4150,1675,424,176,682,393,2085,712,106,146,500,621,853,569,204,80,251,84,167
"2011","Shepway","E07000112","Total",107969,102215,98029,745,164,3277,1267,387,149,420,311,3699,413,93,226,281,2686,458,277,130,51,330,64,266
"2011","Swale","E07000113","Total",135835,131155,126130,780,730,3515,1575,533,225,441,376,1489,545,107,206,233,398,1395,993,277,125,221,47,174
"2011","Thanet","E07000114","Total",134186,128194,121346,1026,187,5635,2186,720,329,598,539,2504,738,184,178,450,954,910,585,239,86,392,118,274
"2011","Tonbridge and Malling","E07000115","Total",120805,115872,111662,760,350,3100,1677,474,199,667,337,2431,755,165,236,496,779,421,222,143,56,404,130,274
