ONS_CENSUS_2011,Local.Authority,LA.type,LA_POPULATION,LA_AREA_HEC,CLA_16_17,CLA_18_24,CLA_16_24,CLA_16_17 + CLA_18_24,Modifed_Total,unemployed_age_16_and_over,unemployment_age_16_to_24,unemployment_age_25_to_34,never_worked_age_16_and_over,never_worked_age_16_to_24,never_worked_age_25_to_34,IMD SCORE,RANK OF IMD SCORE (where 1 is most deprived)
E07000214,Surrey Heath,District,86144,9509.28,,,,,,23999,3194,1388,3520,2162,231,5.24,29791
E07000215,Tandridge,District,82998,24818.98,,,,,,24780,3407,1223,3912,2484,180,18.03,15558
E07000216,Waverley,District,121572,34516.93,0,174,,174,174,37718,5332,1771,5506,3645,241,12.42,21028
E07000217,Woking,District,99198,6359.57,,,,,,27512,3638,2441,4535,2328,576,6.5,28414
E07000218,North Warwickshire,District,62014,28426.69,,,16,,16,19631,2429,1014,2713,1603,163,24.54,10946
E07000219,Nuneaton and Bedworth,NA,125252,7895.14,,,,,,40828,5734,3134,6509,3821,559,54.45,1478
E07000220,Rugby,NA,100075,35111.41,,,,,,29973,4188,2024,4654,2796,348,8.43,26068
E07000221,Stratford-on-Avon,NA,120485,97786.63,,,,,,38665,4009,1498,4478,2642,204,7.52,27167
E07000222,Warwick,District,137648,28288.3,,,38,,38,43982,9915,3049,7242,5051,522,5.76,29257
E07000223,Adur,NA,61182,4180.71,,,,,,21001,2309,1135,2435,1493,172,7.8,26832
E07000224,Arun,District,149518,22070.82,,,,,,58085,5325,2599,6282,3150,399,8.99,25351
E07000225,Chichester,District,113794,78623.08,0,3,,3,3,41256,4921,1631,4585,2459,217,12.43,21013
E07000226,Crawley,District,106597,4497.07,,,,,,28873,4497,3397,5211,2709,748,19.47,14395
E07000227,Horsham,NA,131301,53027.07,,,,,,39894,4569,1860,4949,3121,279,13.92,19322
E07000228,Mid Sussex,District,139860,33402.39,16,30,,46,46,39950,4766,2174,4937,3240,320,12.23,21257
E07000229,Worthing,NA,104640,3248.21,,,,,,34994,3732,2098,4283,2212,365,11.76,21817
E07000234,Bromsgrove,District,93637,21696.91,14.09685111,,,,,30503,4032,1568,4565,2759,312,14.91,18327
E07000235,Malvern Hills,NA,74631,57707.13,,,,,,27452,3371,1080,3674,2428,180,12.85,20556
E07000236,Redditch,District,84214,5424.98,21.67823851,43,,64.67823851,64.67823851,24561,3823,2308,3947,2388,403,38.76,4940
E07000237,Worcester,District,98768,3327.91,14.86931224,121,34,135.8693122,135.8693122,29961,5986,2456,4874,3032,438,16.55,16871
E07000238,Wychavon,District,116944,66354.12,80.60567037,,,,,38254,4103,1724,4498,2710,256,17.12,16363
E07000239,Wyre Forest,District,97975,19540.66,14.74992778,,,,,34518,4090,1991,4618,2633,366,19.31,14517
E08000001,Bolton,Unitary,276786,13980.34,,,,,,95907,16057,8616,20669,11005,2591,29.5,8414
E08000002,Bury,Unitary,185060,9948.44,4,125,,129,129,59483,9371,4783,11549,6507,1300,30.12,8145
E08000003,Manchester,NA,503127,11564.49,,,,,,191250,62143,28340,63173,32613,10390,53.71,1588
E08000004,Oldham,Unitary,224897,14236.49,,,,,,77770,13813,8416,19382,9556,3024,48.57,2466
E08000005,Rochdale,NA,211699,15808.07,,,,,,75751,13405,7776,18418,9407,2534,65.4,445
E08000006,Salford,NA,233933,9719.02,,,,,,81492,15137,9227,17598,8982,2539,56.07,1262
E08000007,Stockport,Unitary,283275,12606.18,,151,,,,91844,12569,5835,14172,8314,1167,15.55,17745
E08000008,Tameside,Unitary,219324,10317.14,45,,,,,74361,11776,6315,13671,7883,1471,58.37,999
E08000009,Trafford,NA,226578,10603.73,,,,,,69289,9983,4907,12239,6759,1162,20.16,13876
E08000010,Wigan,Unitary,317849,18819.15,,,,,,107493,14772,7958,16080,9598,1463,18.62,15085
E08000011,Knowsley,Unitary,145893,8646.93,22,57,,79,79,55293,9056,4665,12749,6228,1206,67.87,322
E08000012,Liverpool,Unitary,466415,11184.35,,,,,,190858,47875,20837,49332,25422,6288,39.22,4799
E08000013,St. Helens,Unitary,175308,13638.25,86,50,,136,136,64510,9328,4495,11138,6416,1021,18.59,15110
E08000014,Sefton,NA,273790,15313.61,,,,,,103726,13546,6138,16706,9177,1256,15.84,17491
E08000015,Wirral,Unitary,319783,15704.94,,448,,,,119817,16793,8025,20784,11658,1787,8.28,26251
E08000016,Barnsley,Unitary,231221,32905.31,9,100,,109,109,84320,11593,6309,14333,7685,1415,46.59,2855
E08000017,Doncaster,NA,302402,56799.22,,,,,,110449,16676,10269,20848,10596,2396,36.07,5847
E08000018,Rotherham,NA,257280,28653.77,,,,,,92695,13399,7413,17875,9152,2131,13.59,19699
E08000019,Sheffield,Unitary,552698,36794.79,62,599,,661,661,206759,54723,18851,46919,27073,6209,20.39,13704
E08000020,Gateshead,NA,200214,14234.74,,,,,,72478,10320,5868,12928,6907,1393,#N/A,#N/A
E08000021,Newcastle upon Tyne,NA,280177,11343.86,,,,,,112363,34174,11448,28745,16544,4043,26.76,9749
E08000022,North Tyneside,NA,200801,8239.1,,,,,,68679,8664,4856,10437,5689,1001,29.2,8551
E08000023,South Tyneside,NA,148127,6441.31,,,,,,57333,8238,4312,10685,5435,1108,37.38,5383
E08000024,Sunderland,NA,275506,13746.17,,,,,,105394,17508,8126,20654,11312,2126,40.2,4502
E08000025,Birmingham,Unitary,1073045,26778.82,93,1102,,1195,1195,402615,99810,52828,133720,64934,20891,37.4,5378
E08000026,Coventry,NA,316960,9864.42,,,,,,115964,29799,12731,30727,17640,4287,20.42,13682
E08000027,Dudley,NA,312925,9795.66,,,,,,110752,16092,8308,19437,11250,2018,19,14756
E08000028,Sandwell,NA,308063,8556.73,,,,,,112790,20100,12618,28950,14503,4107,20.74,13442
E08000029,Solihull,Unitary,206674,17828.78,,,,,,68954,9933,4064,10896,6796,832,7.19,27563
E08000030,Walsall,NA,269323,10395.49,,,,,,100343,17101,10007,23182,11988,2996,13.28,20063
E08000031,Wolverhampton,NA,249470,6943.95,,,,,,95282,18057,10424,23064,12264,2938,56.05,1265
E08000032,Bradford,Unitary,522452,36641.72,214,1630,,1844,1844,180174,35219,23011,55851,25503,9429,9.3,24961
E08000033,Calderdale,Unitary,203826,36392.21,30,32,,62,62,66582,9962,5519,12106,6688,1455,5.72,29307
E08000034,Kirklees,NA,422458,40859.65,,,,,,143126,25723,13624,32988,16890,4573,53.99,1544
E08000035,Leeds,Unitary,751485,55172.44,302,2037,,2339,2339,257315,61710,23649,52474,30239,6796,13.34,19986
E08000036,Wakefield,Unitary,325837,33861.24,,,,,,113443,15785,8534,18816,10463,1844,50.55,2088
E09000001,City of London,Unitary,7375,289.78,0,8,,8,8,1970,356,209,400,251,43,6.16,28814
E09000002,Barking and Dagenham,Unitary,185911,3609.04,,,,,,62120,13543,9884,19687,9761,3492,17.08,16410
E09000003,Barnet,Unitary,356386,8673.72,115,,,,,109682,23296,13465,33034,17012,4546,4.64,30415
E09000004,Bexley,Unitary,231997,6055.95,,,,,,73751,12845,5939,14123,8720,1294,6.61,28291
E09000005,Brent,Unitary,311215,4323.52,,,,,,100166,23015,15198,37861,16791,6190,23.22,11775
E09000006,Bromley,NA,309392,15015.45,,,,,,96443,14239,6979,16254,10182,1406,5.87,29130
E09000007,Camden,Unitary,220338,2179.6,,,,,,74705,22027,10245,24477,13388,3254,12.21,21292
E09000008,Croydon,Unitary,363378,8651.89,46,407,,453,453,110342,23013,12751,29534,16282,3776,21.1,13184
E09000009,Ealing,Unitary,338449,5552.5,11,340,,351,351,103772,22226,14581,36551,16289,5965,16.69,16747
E09000010,Enfield,Unitary,312466,8082.94,,206,,,,104075,22514,13499,34070,16209,5228,14.93,18305
E09000011,Greenwich,NA,254557,4734.38,,,,,,80833,18598,11735,24025,12384,3829,27.23,9517
E09000012,Hackney,NA,246270,1906.35,,,,,,76094,18793,13680,29856,13282,4812,47.34,2702
E09000013,Hammersmith and Fulham,Unitary,182493,1640.4,64,265,,329,329,52715,12529,7645,15668,7775,2263,15.48,17803
E09000014,Haringey,Unitary,254926,2958.85,18,338,,356,356,78011,18032,12253,28418,12602,4337,22.34,12322
E09000015,Harrow,NA,239056,5046.91,,,,,,76243,16086,8403,24722,11977,3256,12.34,21121
E09000016,Havering,Unitary,237232,11236.35,,,,,,79293,11875,5852,12961,8079,1090,29.9,8237
E09000017,Hillingdon,Unitary,273936,11569.87,3,277,,280,280,86070,20616,9959,23951,13555,3404,38.35,5068
E09000018,Hounslow,NA,253957,5598.62,,,,,,74811,16291,11093,23452,11334,3977,15.31,17978
E09000019,Islington,NA,206125,1485.95,,,,,,66045,17561,10203,21602,10851,3111,53.13,1672
E09000020,Kensington and Chelsea,Unitary,158649,1212.95,1,242,,243,243,51881,10944,6643,15502,7895,1898,13.09,20291
E09000021,Kingston upon Thames,Unitary,160060,3724.69,,,,,,47356,11805,4508,11168,6587,1217,10.45,23457
E09000022,Lambeth,Unitary,303086,2682.14,58,642,,700,700,81095,18737,12894,24823,12360,3634,33.22,6844
E09000023,Lewisham,NA,275885,3514.54,,,,,,82179,18939,12001,23972,12388,3589,37.7,5287
E09000024,Merton,NA,199693,3760.87,,,,,,55471,10654,6832,14343,7565,2097,8.19,26356
E09000025,Newham,NA,307984,3622.36,,,,,,105303,29103,22307,50275,21483,10957,38.66,4973
E09000026,Redbridge,NA,278970,5641.14,,,,,,90750,19852,12403,32082,15316,5331,19.57,14307
E09000027,Richmond upon Thames,Unitary,186990,5741.52,,,,,,50136,8443,3904,8759,5426,759,6.3,28643
E09000028,Southwark,NA,288283,2885.41,,,,,,86906,23999,13685,28028,14967,4327,29.22,8541
E09000029,Sutton,NA,190146,4385.02,,,,,,53951,8861,4693,10586,6245,1031,21.17,13133
E09000030,Tower Hamlets,NA,254096,1976.9,,,,,,82709,24108,17002,36485,15621,6687,40.84,4312
E09000031,Waltham Forest,NA,258249,3881.4,,,,,,81670,18814,13247,28539,13533,4983,39.08,4845
E09000032,Wandsworth,Unitary,306995,3426.29,18,222,,240,240,76550,16203,10669,19971,9884,2713,14.11,19120
E09000033,Westminster,Unitary,219396,2147.78,,,,,,74294,16866,11870,27038,12181,4209,16.89,16573
N92000002,Northern Ireland,NA,1814297,1415309.8,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S12000005,Clackmannanshire,NA,51442,15864,,,163,,163,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S12000006,Dumfries and Galloway,NA,151324,642620,,,184,,184,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S12000008,East Ayrshire,NA,122767,126212,,,121,,121,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S12000010,East Lothian,NA,99717,67918,,,235,,235,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S12000011,East Renfrewshire,NA,90574,17379,,,93,,93,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S12000013,Eilean Siar,NA,27684,305950,,,51,,51,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S12000014,Falkirk,NA,155990,29736,,,388,,388,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S12000015,Fife,NA,365198,132486,,,668,,668,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S12000017,Highland,NA,232132,2568389,,,336,,336,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S12000018,Inverclyde,NA,81485,16044,,,77,,77,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S12000019,Midlothian,NA,83187,35369,,,215,,215,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S12000020,Moray,NA,93295,223756,,,170,,170,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S12000021,North Ayrshire,NA,138146,88534,,,247,,247,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S12000023,Orkney Islands,NA,21349,98980,,,22,,22,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S12000024,Perth and Kinross,NA,146652,528558,,,232,,232,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S12000026,Scottish Borders,NA,113870,473174,,,215,,215,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S12000027,Shetland Islands,NA,23167,146665,,,53,,53,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S12000028,South Ayrshire,NA,112799,122198,,,219,,219,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S12000029,South Lanarkshire,NA,313830,177189,,,572,,572,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S12000030,Stirling,NA,90247,218697,,,133,,133,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S12000033,Aberdeen City,NA,222793,18571,,,411,,411,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S12000034,Aberdeenshire,NA,252973,631261,,,390,,390,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S12000035,Argyll and Bute,NA,88166,690947,,,115,,115,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S12000036,City of Edinburgh,NA,476626,26333,,,1163,,1163,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S12000038,Renfrewshire,NA,174908,26194,,,232,,232,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S12000039,West Dunbartonshire,NA,90720,15876,,,359,,359,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S12000040,West Lothian,NA,175118,42749,,,467,,467,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S12000041,Angus,NA,115978,218179,,,222,,222,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S12000042,Dundee City,NA,147268,5978,,,453,,453,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S12000044,North Lanarkshire,NA,337727,46991,,,479,,479,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S12000045,East Dunbartonshire,NA,105026,17449,,,179,,179,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S12000046,Glasgow City,NA,593245,17468,,,1298,,1298,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
W06000001,Isle of Anglesey,NA,69751,71124.11,0,66,,66,66,27164,3171,1626,3952,1955,293,#N/A,#N/A
W06000002,Gwynedd,NA,121874,253493.94,10,75,,85,85,46400,9300,2827,7697,4469,653,#N/A,#N/A
W06000003,Conwy,NA,115228,112582.88,,,,,,45475,5011,2229,5894,3149,442,#N/A,#N/A
W06000004,Denbighshire,NA,93734,83674.27,,,,,,35307,4840,2022,5533,3208,408,#N/A,#N/A
W06000005,Flintshire,NA,152506,43753.91,,,,,,49441,6617,2873,7020,4292,433,#N/A,#N/A
W06000006,Wrexham,NA,134844,50377.45,10,95,,105,105,45059,6693,3480,7416,4079,631,#N/A,#N/A
W06000008,Ceredigion,NA,75922,178545.43,,,,,,31839,9120,1505,5163,3598,293,#N/A,#N/A
W06000009,Pembrokeshire,NA,122439,161873.87,23,167,,190,190,45588,5575,2598,6592,3308,493,#N/A,#N/A
W06000010,Carmarthenshire,NA,183777,237035.46,58,285,,343,343,69361,9131,3978,10935,5881,887,#N/A,#N/A
W06000011,Swansea,NA,239023,37974.42,14,815,,829,829,94170,18809,7553,17097,9617,1928,#N/A,#N/A
W06000012,Neath Port Talbot,NA,139812,44125.95,,,,,,55917,7374,4154,9383,4919,869,#N/A,#N/A
W06000013,Bridgend,NA,139178,25074.74,,,,,,52339,7446,4135,8548,4917,763,#N/A,#N/A
W06000014,Vale of Glamorgan,NA,126336,33095.28,,,,,,43230,6248,2834,6932,4218,534,#N/A,#N/A
W06000015,Cardiff,NA,346090,14038.2,403,1614,,2017,2017,122738,34651,12724,28334,16044,3876,#N/A,#N/A
W06000016,Rhondda Cynon Taf,NA,234410,42412.97,32,86,,118,118,90426,14956,7378,17206,9801,1774,#N/A,#N/A
W06000018,Caerphilly,NA,178806,27745.02,,,,,,66069,9821,5354,12028,6834,1094,#N/A,#N/A
W06000019,Blaenau Gwent,NA,69814,10876.16,12,158,,170,170,28921,4400,2426,5588,2963,540,#N/A,#N/A
W06000020,Torfaen,NA,91075,12564.08,28,201,,229,229,33418,4747,2443,5365,3078,460,#N/A,#N/A
W06000021,Monmouthshire,NA,91323,84914.94,,,,,,31870,4122,1588,4541,2801,222,#N/A,#N/A
W06000022,Newport,NA,145736,19051.6,,,,,,51657,9043,4674,10213,5502,1257,#N/A,#N/A
W06000023,Powys,NA,132976,518037.01,22,111,,133,133,45451,5116,1971,6256,3490,290,#N/A,#N/A
W06000024,Merthyr Tydfil,NA,58802,11139.29,3,31,,34,34,22640,3515,1871,4326,2377,443,#N/A,#N/A
