ONS_CENSUS_2011,Local.Authority,LA.type,LA_POPULATION,LA_AREA_HEC,CLA_16_17,CLA_18_24,CLA_16_24,CLA_16_17 + CLA_18_24,Modifed_Total,unemployed_age_16_and_over,unemployment_age_16_to_24,unemployment_age_25_to_34,never_worked_age_16_and_over,never_worked_age_16_to_24,never_worked_age_25_to_34,IMD SCORE,RANK OF IMD SCORE (where 1 is most deprived)
E06000021,Stoke-on-Trent,Unitary,249008,9345.02,48,599,,647,647,92104,16491,9130,18147,9834,2611,49.45,2289
E06000022,Bath and North East Somerset,NA,176016,34574.08,,,,,,60966,15069,3363,9506,6738,570,29.18,8565
E06000023,"Bristol, City of",Unitary,428234,10960.76,,,,,,138728,35633,14597,28038,16385,3286,21.87,12617
E06000024,North Somerset,NA,202566,37378.6,,,,,,67658,6951,3492,7739,4247,517,2.17,32251
E06000025,South Gloucestershire,NA,262767,49694.56,,,,,,75566,11149,4833,10070,6423,748,16.31,17079
E06000026,Plymouth,NA,256384,7983.36,,,,,,93611,21023,7685,15097,8969,1371,41.03,4253
E06000027,Torbay,NA,130959,6287.4,,,,,,51894,5463,2735,6315,3128,457,21.39,12958
E06000028,Bournemouth,NA,183491,4617.88,,,,,,65504,13303,5367,9358,5048,1026,17.09,16397
E06000029,Poole,Unitary,147645,6475.33,61,509,,570,570,49822,5923,2977,6055,3349,427,39.34,4765
E06000030,Swindon,NA,209156,23010.36,,,,,,57902,8522,5100,8987,5219,812,4.19,30872
E06000031,Peterborough,Unitary,183631,34337.82,13,279,,292,292,56081,9442,6189,12059,6237,1618,9.09,25240
E06000031,Peterborough,Unitary,183631,34337.82,,,,,,56081,9442,6189,12059,6237,1618,9.09,25240
E06000032,Luton,NA,203201,4335.33,,,,,,66856,14652,10383,21625,10125,4179,9.5,24687
E06000033,Southend-on-Sea,Unitary,173658,4175.6,43,58,,101,101,58722,7873,4761,9595,5020,914,20.62,13532
E06000034,Thurrock,NA,157705,16337.6,,,,,,45739,7260,4819,8138,4565,877,32.25,7243
E06000035,Medway,NA,263925,19203.31,,,,,,83384,16524,7617,16013,10339,1446,33,6935
