"Country","ONS_CENSUS_2011","ONS_2014","Local.Authority","LA.type","LA_POPULATION","LA_AREA_HEC","COUNTY_NAME","COUNTY_POPULATION","LA_POPULATION_OVER_COUNTY_POPULATION","LA_16_17","LA_16_24","LA_18_24","SUM_COUNTY_16_17","SUM_COUNTY_16_24","SUM_COUNTY_18_24"
"England","E07000212","E07000212","Runnymede","District",80510,7804.32,"Surrey",898957,0.0895593448852392,"1",NA,NA,2,0,215
"England","E07000176","E07000176","Rushcliffe","District",111129,40923.64,"Nottinghamshire",558122,0.199112380447286,NA,NA,"222",6,0,348
"England","E07000092","E07000092","Rushmoor","District",93807,3904.46,"Hampshire",1119558,0.0837893168554019,NA,NA,NA,27,73,324
"England","E06000017","E06000017","Rutland","Unitary",37369,38151.51,NA,NA,NA,"<5",NA,"<5",NA,NA,NA
"England","E07000168","E07000168","Scarborough","District",108793,81654.13,"North Yorkshire",494660,0.219934904783083,"10",NA,"300",94,177,617
"England",NA,NA,"Scilly","Unitary",NA,NA,NA,NA,NA,"0",NA,"0",NA,NA,NA
"England","E07000169","E07000169","Selby","District",83449,59931.19,"North Yorkshire",494660,0.168699712934137,NA,"177",NA,94,177,617
"England","E07000111","E07000111","Sevenoaks","District",114893,36919.86,"Kent",984950,0.116648560840652,NA,NA,NA,113,0,708
"England","E08000019","E08000019","Sheffield","Unitary",552698,36794.79,NA,NA,NA,"62",NA,"599",NA,NA,NA
"England","E08000029","E08000029","Solihull","Unitary",206674,17828.78,NA,NA,NA,NA,NA,NA,NA,NA,NA
"England",NA,NA,"Somerset","County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"England","E07000006","E07000006","South Bucks","District",66867,14127.52,"Buckinghamshire",159502,0.419223583403343,"2",NA,NA,2,0,0
"England","E07000012","E07000012","South Cambridgeshire","District",148755,90162.77,"Cambridgeshire",537392,0.276809107690476,NA,NA,NA,48,0,360
"England",NA,NA,"South Hampshire","District",NA,NA,NA,NA,NA,"0",NA,"2",NA,NA,NA
"England","E07000031","E07000031","South Lakeland","District",103658,153362,"Cumbria",429255,0.241483500483396,"0",NA,"123",3,25,210
"England","E07000149","E07000149","South Norfolk","District",124012,90770.68,"Norfolk",379149,0.327079855149295,"5",NA,"17",10,25,48
"England","E07000155","E07000155","South Northamptonshire","District",85189,63401.85,"Northamptonshire",691952,0.123114031031054,"4",NA,"109",18,174,409
"England","E06000033","E06000033","Southend-on-Sea","Unitary",173658,4175.6,NA,NA,NA,"43",NA,"58",NA,NA,NA
"England","E07000100","E07000240","St Albans","District",140664,16117.63,"Hertfordshire",590243,0.238315405688843,NA,NA,NA,21,0,96
"England",NA,NA,"St Helens","Unitary",NA,NA,NA,NA,NA,"86",NA,"50",NA,NA,NA
"England","E07000197","E07000197","Stafford","District",130869,59817.26,"Staffordshire",616487,0.212281848603458,"1",NA,"7",61,95,375
"England","E07000198","E07000198","Staffordshire Moorlands","District",97106,57584.71,"Staffordshire",616487,0.157515081421019,"1",NA,"23",61,95,375
"England","E08000007","E08000007","Stockport","Unitary",283275,12606.18,NA,NA,NA,"<10",NA,"151",NA,NA,NA
"England",NA,NA,"Stoke-on-Trent City","Unitary",NA,NA,NA,NA,NA,"48",NA,"599",NA,NA,NA
"England","E07000082","E07000082","Stroud","District",112779,46065.47,"Gloucestershire",515041,0.218970916878462,"0",NA,"16",17,288,385
"England","E07000205","E07000205","Suffolk Coastal","District",124298,89156.43,"Suffolk",424023,0.293139758928171,"1",NA,"7",1,0,25
"England","E07000214","E07000214","Surrey Heath","District",86144,9509.28,"Surrey",898957,0.095826607946765,NA,NA,NA,2,0,215
"England","E07000113","E07000113","Swale","District",135835,37338.55,"Kent",984950,0.13791055383522,"31",NA,"72",113,0,708
"England","E08000008","E08000008","Tameside","Unitary",219324,10317.14,NA,NA,NA,"45",NA,NA,NA,NA,NA
"England","E07000199","E07000199","Tamworth","District",76813,3084.62,"Staffordshire",616487,0.124597923394978,"23",NA,"48",61,95,375
"England","E07000215","E07000215","Tandridge","District",82998,24818.98,"Surrey",898957,0.0923269967306556,NA,NA,NA,2,0,215
"England","E07000190","E07000190","Taunton Deane","District",110187,46236.29,"Somerset",219466,0.502068657559713,NA,NA,NA,0,0,0
"England","E07000076","E07000076","Tendring","District",138048,33764.12,"Essex",802658,0.171988567982877,"48",NA,"451",82,248,655
"England","E07000093","E07000093","Test Valley","District",116398,62757.99,"Hampshire",1119558,0.103967815870192,"1",NA,"12",27,73,324
"England","E07000114","E07000114","Thanet","District",134186,10333.53,"Kent",984950,0.136236357175491,"12",NA,"117",113,0,708
"England","E07000102","E07000102","Three Rivers","District",87317,8881.34,"Hertfordshire",590243,0.147933986510641,NA,NA,NA,21,0,96
"England","E07000115","E07000115","Tonbridge and Malling","District",120805,24013.56,"Kent",984950,0.122650895984568,"3",NA,"36",113,0,708
"England","E07000046","E07000046","Torridge","District",63839,98385.32,"Devon",328832,0.194138648306734,"60",NA,"133",95,0,449
"England","E07000116","E07000116","Tunbridge Wells","District",115049,33132.82,"Kent",984950,0.11680694451495,"30",NA,"273",113,0,708
"England","E08000036","E08000036","Wakefield","Unitary",325837,33861.24,NA,NA,NA,NA,NA,NA,NA,NA,NA
"England","E09000032","E09000032","Wandsworth","Unitary",306995,3426.29,NA,NA,NA,"18",NA,"222",NA,NA,NA
"England","E06000007","E06000007","Warrington","Unitary",202228,18065.39,NA,NA,NA,"44",NA,"65",NA,NA,NA
"England","E07000222","E07000222","Warwick","District",137648,28288.3,"Warwickshire",199662,0.689405094609891,NA,"38",NA,0,54,0
"England","E07000103","E07000103","Watford","District",90301,2142.48,"Hertfordshire",590243,0.152989531430275,NA,NA,NA,21,0,96
"England","E07000206","E07000206","Waveney","District",115254,36968.26,"Suffolk",424023,0.271810727248286,"0",NA,"18",1,0,25
"England","E07000216","E07000216","Waverley","District",121572,34516.93,"Surrey",898957,0.135236724337204,"0",NA,"174",2,0,215
"England","E07000065","E07000065","Wealden","District",148915,83316.94,"East Sussex",526671,0.282747673595091,NA,NA,"231",66,0,363
"England","E07000156","E07000156","Wellingborough","District",75356,16303.94,"Northamptonshire",691952,0.108903507757764,"8",NA,"55",18,174,409
"England","E07000047","E07000047","West Devon","District",53553,115963.56,"Devon",328832,0.162858237641105,"1",NA,"9",95,0,449
"England","E07000052","E07000052","West Dorset","District",99264,108147.42,"Dorset",277987,0.357081446254681,NA,NA,NA,25,0,220
"England","E07000127","E07000127","West Lancashire","District",110685,34678.96,"Lancashire",768866,0.14395876524648,NA,"17",NA,41,17,138
"England","E07000142","E07000142","West Lindsey","District",89250,115571.73,"Lincolnshire",383829,0.232525421476751,"1",NA,"25",70,0,655
"England",NA,NA,"West Norfolk","District",NA,NA,NA,NA,NA,"24",NA,"344",NA,NA,NA
"England",NA,NA,"West Sussex","County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"England",NA,NA,"West Sussex","County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"England","E09000033","E09000033","Westminster","Unitary",219396,2147.78,NA,NA,NA,NA,NA,NA,NA,NA,NA
"England","E07000053","E07000053","Weymouth and Portland","District",65167,4175.88,"Dorset",277987,0.234424631367654,NA,NA,NA,25,0,220
"England","E08000010","E08000010","Wigan","Unitary",317849,18819.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"England","E07000094","E07000094","Winchester","District",116595,66097.46,"Hampshire",1119558,0.104143778169599,"2",NA,"31",27,73,324
"England","E08000015","E08000015","Wirral","Unitary",319783,15704.94,NA,NA,NA,NA,NA,"448",NA,NA,NA
"England","E07000217","E07000217","Woking","District",99198,6359.57,"Surrey",898957,0.110347880933126,NA,NA,NA,2,0,215
"England",NA,NA,"Worcester City","District",NA,NA,NA,NA,NA,NA,"34","121",NA,NA,NA
"England",NA,NA,"Worcestershire","County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"England","E07000238","E07000238","Wychavon","District",116944,66354.12,"Worcestershire",392770,0.297741680881941,"63",NA,NA,72,0,43
"England","E07000128","E07000128","Wyre","District",107749,28255.43,"Lancashire",768866,0.140140154461246,NA,NA,NA,41,17,138
"England","E07000239","E07000239","Wyre Forest","District",97975,19540.66,"Worcestershire",392770,0.249446240802505,NA,NA,NA,72,0,43
"England","E06000014","E06000014","York","Unitary",198051,27193.63,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Northern Ireland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scotland","S12000033","S12000033","Aberdeen City",NA,222793,18571,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scotland","S12000034","S12000034","Aberdeenshire",NA,252973,631261,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scotland","S12000041","S12000041","Angus",NA,115978,218179,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scotland",NA,NA,"Argyll & Bute",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scotland","S12000005","S12000005","Clackmannanshire",NA,51442,15864,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scotland",NA,NA,"Dumfries & Galloway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
