ONS_CENSUS_2011,Local.Authority,LA.type,LA_POPULATION,LA_AREA_HEC,COUNTY_POPULATION,LA_POPULATION_OVER_COUNTY_POPULATION,CLA_16_17,CLA_16_24,CLA_18_24,,,
E07000086,Eastleigh,District,125199,7977.76,1119558,0.111828954,14.3141061,,0.223657908,,,
E07000087,Fareham,District,111581,7423.27,1119558,0.099665225,29.7571488,,221.1993305,,,
E07000088,Gosport,NA,82622,2532.09,NA,NA,,,,,,
E07000092,Rushmoor,District,93807,3904.46,1119558,0.083789317,10.72503256,,0.167578634,,,
E07000093,Test Valley,District,116398,62757.99,1119558,0.103967816,14.30788043,,12.20793563,,,
E07000094,Winchester,District,116595,66097.46,1119558,0.104143778,15.33040361,,31.20828756,,,
E07000089,Hart,District,91033,21526.53,1119558,0.081311553,17.40787882,,60.16262311,,,
E07000090,Havant,District,120684,5536.97,1119558,0.107796112,13.79790239,,0.215592225,,,
E07000091,New Forest,District,176462,75313.48,1119558,0.15761756,20.17504765,73,0.31523512,,,
E07000096,Dacorum,District,144847,21247.56,590243,0.245402317,0,,,,,
E07000098,Hertsmere,NA,100031,10116,NA,NA,,,,,,
E07000099,North Hertfordshire,District,127114,37537.51,590243,0.215358759,21,,96,,,
E07000120,Hyndburn,District,80734,7299.32,768866,0.105003993,5,,7,,,
E07000121,Lancaster,NA,138375,57585.64,NA,NA,,,,,,
E07000102,Three Rivers,District,87317,8881.34,590243,0.147933987,,,,,,
E07000103,Watford,District,90301,2142.48,590243,0.152989531,,,,,,
E07000105,Ashford,NA,117956,58061.67,NA,NA,,,,,,
E07000106,Canterbury,NA,151145,30885.19,NA,NA,,,,,,
E07000107,Dartford,District,97365,7276.85,984950,0.098852734,,,,,,
E07000108,Dover,District,111674,31485.09,984950,0.113380375,37,,210,,,
E07000226,Crawley,District,106597,4497.07,509769,0.209108439,,,,,,
E07000227,Horsham,NA,131301,53027.07,NA,NA,,,,,,
E07000228,Mid Sussex,District,139860,33402.39,509769,0.274359563,16,,30,,,
E07000109,Gravesham,NA,101720,9901.87,NA,NA,,,,,,
E07000110,Maidstone,District,155143,39333.34,984950,0.157513579,,,,,,
E07000111,Sevenoaks,District,114893,36919.86,984950,0.116648561,,,,,,
E07000112,Shepway,NA,107969,35670.31,NA,NA,,,,,,
E07000113,Swale,District,135835,37338.55,984950,0.137910554,31,,72,,,
E07000229,Worthing,NA,104640,3248.21,NA,NA,,,,,,
E07000234,Bromsgrove,District,93637,21696.91,491538,0.190497988,14.09685111,,,,,
E07000235,Malvern Hills,NA,74631,57707.13,NA,NA,,,,,,
E07000114,Thanet,District,134186,10333.53,984950,0.136236357,12,,117,,,
E07000115,Tonbridge and Malling,District,120805,24013.56,984950,0.122650896,3,,36,,,
E07000116,Tunbridge Wells,District,115049,33132.82,984950,0.116806945,30,,273,,,
E07000135,Oadby and Wigston,District,56170,2352.33,600113,0.093599039,6.463164437,,26,,,
E07000117,Burnley,NA,87059,11070.03,NA,NA,,,,,,
E07000118,Chorley,District,107155,20279.69,768866,0.139367588,11,,14,,,
E07000136,Boston,District,64637,36153.77,383829,0.168400512,26,,23,,,
E07000137,East Lindsey,District,136401,176025.58,383829,0.355369188,43,,254,,,
E07000138,Lincoln,District,93541,3568.8,383829,0.243704879,,,353,,,
E07000139,North Kesteven,NA,107766,92244.28,NA,NA,,,,,,
E07000140,South Holland,NA,88270,74238.31,NA,NA,,,,,,
E07000141,South Kesteven,NA,133788,94259.45,NA,NA,,,,,,
E07000142,West Lindsey,District,89250,115571.73,383829,0.232525421,1,,25,,,
E07000143,Breckland,District,130491,130511.64,526600,0.247799088,,25,,,,
E07000144,Broadland,District,124646,55239.88,526600,0.236699582,5,,31,,,
E07000145,Great Yarmouth,NA,97277,17418.83,NA,NA,,,,,,
E07000146,King's Lynn and West Norfolk,District,147451,142879.4,526600,0.280005697,24,,344,,,
E07000147,North Norfolk,NA,101499,96333.07,NA,NA,,,,,,
E07000119,Fylde,District,75757,16568.86,768866,0.098530823,2,,31,,,
E07000122,Pendle,District,89452,16936.37,768866,0.11634277,,,,,,
E07000101,Stevenage,NA,83957,2596.4,NA,NA,,,,,,
E08000001,Bolton,Unitary,276786,13980.34,NA,NA,,,,,,
E07000123,Preston,District,140202,14229.4,768866,0.18234907,16,,29,,,
E07000124,Ribble Valley,District,57132,58316.11,768866,0.074306836,7,,57,,,
E07000125,Rossendale,NA,67982,13804.82,NA,NA,,,,,,
E07000126,South Ribble,NA,109057,11295.57,NA,NA,,,,,,
E07000127,West Lancashire,District,110685,34678.96,768866,0.143958765,,17,,,,
E07000128,Wyre,District,107749,28255.43,768866,0.140140154,,,,,,
E07000129,Blaby,District,93915,13046.66,600113,0.156495527,13.79033449,,78,,,
E07000130,Charnwood,District,166100,27905.68,600113,0.276781206,10.24090463,,0,,,
E07000131,Harborough,District,85382,59177.75,600113,0.142276538,20.2642319,,119,,,
E07000132,Hinckley and Bosworth,District,105078,29734.91,600113,0.175097023,35.47858987,,225,,,
