la_code,la_name,population,area,lad14cd
"E07000225","Chichester","  113794","     78623.08","E07000225"
"E07000211","Reigate and Banstead","  137835","     12913.41","E07000211"
"E07000213","Spelthorne","   95598","      4488.44","E07000213"
"E07000214","Surrey Heath","   86144","      9509.28","E07000214"
"E07000215","Tandridge","   82998","     24818.98","E07000215"
"E07000216","Waverley","  121572","     34516.93","E07000216"
"E07000217","Woking","   99198","      6359.57","E07000217"
"E07000218","North Warwickshire","   62014","     28426.69","E07000218"
"E07000219","Nuneaton and Bedworth","  125252","      7895.14","E07000219"
"E07000220","Rugby","  100075","     35111.41","E07000220"
"E07000221","Stratford-on-Avon","  120485","     97786.63","E07000221"
"E07000222","Warwick","  137648","     28288.30","E07000222"
"E07000223","Adur","   61182","      4180.71","E07000223"
"E07000236","Redditch","   84214","      5424.98","E07000236"
"E07000237","Worcester","   98768","      3327.91","E07000237"
"E07000238","Wychavon","  116944","     66354.12","E07000238"
"E07000239","Wyre Forest","   97975","     19540.66","E07000239"
"E07000100","St Albans","  140664","     16117.63","E07000240"
"E09000031","Waltham Forest","  258249","      3881.40","E09000031"
"E07000104","Welwyn Hatfield","  110535","     12955.42","E07000241"
"E07000097","East Hertfordshire","  137687","     47568.68","E07000242"
"E08000002","Bury","  185060","      9948.44","E08000002"
"E09000032","Wandsworth","  306995","      3426.29","E09000032"
"E08000003","Manchester","  503127","     11564.49","E08000003"
"E08000004","Oldham","  224897","     14236.49","E08000004"
"E09000033","Westminster","  219396","      2147.78","E09000033"
"E08000005","Rochdale","  211699","     15808.07","E08000005"
"S12000024","Perth and Kinross","  146652","    528558.00","S12000024"
"S12000026","Scottish Borders","  113870","    473174.00","S12000026"
"S12000027","Shetland Islands","   23167","    146665.00","S12000027"
"S12000028","South Ayrshire","  112799","    122198.00","S12000028"
"S12000029","South Lanarkshire","  313830","    177189.00","S12000029"
"S12000030","Stirling","   90247","    218697.00","S12000030"
"S12000033","Aberdeen City","  222793","     18571.00","S12000033"
"S12000034","Aberdeenshire","  252973","    631261.00","S12000034"
"S12000035","Argyll and Bute","   88166","    690947.00","S12000035"
"E08000006","Salford","  233933","      9719.02","E08000006"
"E08000021","Newcastle upon Tyne","  280177","     11343.86","E08000021"
"E08000007","Stockport","  283275","     12606.18","E08000007"
"E08000008","Tameside","  219324","     10317.14","E08000008"
"E08000009","Trafford","  226578","     10603.73","E08000009"
"S12000042","Dundee City","  147268","      5978.00","S12000042"
"S12000044","North Lanarkshire","  337727","     46991.00","S12000044"
"E08000010","Wigan","  317849","     18819.15","E08000010"
"W06000009","Pembrokeshire","  122439","    161873.87","W06000009"
"E08000011","Knowsley","  145893","      8646.93","E08000011"
"E09000009","Ealing","  338449","      5552.50","E09000009"
"W06000010","Carmarthenshire","  183777","    237035.46","W06000010"
"E08000012","Liverpool","  466415","     11184.35","E08000012"
"E09000010","Enfield","  312466","      8082.94","E09000010"
"W06000011","Swansea","  239023","     37974.42","W06000011"
"W06000012","Neath Port Talbot","  139812","     44125.95","W06000012"
"E08000013","St. Helens","  175308","     13638.25","E08000013"
"E08000014","Sefton","  273790","     15313.61","E08000014"
"E09000014","Haringey","  254926","      2958.85","E09000014"
"W06000018","Caerphilly","  178806","     27745.02","W06000018"
"E08000015","Wirral","  319783","     15704.94","E08000015"
"E08000016","Barnsley","  231221","     32905.31","E08000016"
"E08000017","Doncaster","  302402","     56799.22","E08000017"
"E09000015","Harrow","  239056","      5046.91","E09000015"
"E08000018","Rotherham","  257280","     28653.77","E08000018"
"E08000019","Sheffield","  552698","     36794.79","E08000019"
"E08000022","North Tyneside","  200801","      8239.10","E08000022"
"E09000021","Kingston upon Thames","  160060","      3724.69","E09000021"
"E08000023","South Tyneside","  148127","      6441.31","E08000023"
"E08000026","Coventry","  316960","      9864.42","E08000026"
"E08000024","Sunderland","  275506","     13746.17","E08000024"
"E08000025","Birmingham"," 1073045","     26778.82","E08000025"
"E08000027","Dudley","  312925","      9795.66","E08000027"
"E09000001","City of London","    7375","       289.78","E09000001"
"E08000028","Sandwell","  308063","      8556.73","E08000028"
"E08000029","Solihull","  206674","     17828.78","E08000029"
"E09000022","Lambeth","  303086","      2682.14","E09000022"
"E08000030","Walsall","  269323","     10395.49","E08000030"
"E09000002","Barking and Dagenham","  185911","      3609.04","E09000002"
"E08000031","Wolverhampton","  249470","      6943.95","E08000031"
"E08000032","Bradford","  522452","     36641.72","E08000032"
"E09000005","Brent","  311215","      4323.52","E09000005"
"E08000033","Calderdale","  203826","     36392.21","E08000033"
"E08000034","Kirklees","  422458","     40859.65","E08000034"
"E08000035","Leeds","  751485","     55172.44","E08000035"
"E08000036","Wakefield","  325837","     33861.24","E08000036"
"E08000020","Gateshead","  200214","     14234.74","E08000037"
"E09000003","Barnet","  356386","      8673.72","E09000003"
"E09000004","Bexley","  231997","      6055.95","E09000004"
"E09000006","Bromley","  309392","     15015.45","E09000006"
"E09000007","Camden","  220338","      2179.60","E09000007"
"E09000008","Croydon","  363378","      8651.89","E09000008"
"E09000011","Greenwich","  254557","      4734.38","E09000011"
"E09000012","Hackney","  246270","      1906.35","E09000012"
"E09000013","Hammersmith and Fulham","  182493","      1640.40","E09000013"
"E09000016","Havering","  237232","     11236.35","E09000016"
"E09000025","Newham","  307984","      3622.36","E09000025"
"E09000017","Hillingdon","  273936","     11569.87","E09000017"
"E09000018","Hounslow","  253957","      5598.62","E09000018"
"E09000019","Islington","  206125","      1485.95","E09000019"
"E09000020","Kensington and Chelsea","  158649","      1212.95","E09000020"
"E09000023","Lewisham","  275885","      3514.54","E09000023"
"E09000024","Merton","  199693","      3760.87","E09000024"
"E09000026","Redbridge","  278970","      5641.14","E09000026"
"E09000029","Sutton","  190146","      4385.02","E09000029"
"E09000027","Richmond upon Thames","  186990","      5741.52","E09000027"
"E09000028","Southwark","  288283","      2885.41","E09000028"
"S12000005","Clackmannanshire","   51442","     15864.00","S12000005"
"S12000006","Dumfries and Galloway","  151324","    642620.00","S12000006"
"S12000008","East Ayrshire","  122767","    126212.00","S12000008"
"S12000010","East Lothian","   99717","     67918.00","S12000010"
"S12000011","East Renfrewshire","   90574","     17379.00","S12000011"
"S12000013","Eilean Siar","   27684","    305950.00","S12000013"
